p sp 3278 4982
a 831 113 29.8 25.5
a 831 134 20.6 17.6
a 831 2754 89.4 76.4
a 831 2926 70.0 59.8
a 832 1101 111.0 94.9
a 832 2105 7.8 6.7
a 832 2159 9.2 7.9
a 832 2709 90.7 77.5
a 833 353 44.9 38.4
a 833 496 31.0 26.5
a 833 2863 9.9 8.5
a 834 883 3.9 3.3
a 834 2957 37.5 32.1
a 834 3199 24.2 20.7
a 835 1215 64.1 54.8
a 835 1411 10.7 9.1
a 835 1444 40.8 34.9
a 835 2316 18.7 16.0
a 836 242 12.8 10.9
a 836 1083 15.0 12.8
a 836 1844 7.6 6.5
a 836 3003 57.8 49.4
a 837 278 18.3 15.6
a 837 2671 7.3 6.2
a 837 2809 4.1 3.5
a 838 200 22.1 18.9
a 838 1152 31.9 27.3
a 838 2934 8.0 6.8
a 839 344 36.8 31.5
a 839 1356 6.1 5.2
a 839 3163 4.0 3.4
a 840 742 165.4 141.4
a 840 2103 35.0 29.9
a 840 2364 121.5 103.8
a 840 2983 10.1 8.6
a 841 95 53.1 45.4
a 841 2235 17.8 15.2
a 841 2320 15.8 13.5
a 842 594 21.8 18.6
a 842 1171 31.8 27.2
a 842 2195 11.6 9.9
a 843 543 3.3 2.8
a 843 1172 152.4 130.3
a 843 1941 5.5 4.7
a 844 496 8.7 7.4
a 844 1348 22.8 19.5
a 844 2190 9.1 7.8
a 845 2685 2.4 2.1
a 846 330 48.7 41.6
a 846 608 5.3 4.5
a 846 2526 49.8 42.6
a 846 2776 31.5 26.9
a 847 537 14.5 12.4
a 847 1140 12.9 11.0
a 847 1815 16.7 14.3
a 847 2081 14.6 12.5
a 847 2290 20.4 17.4
a 848 1762 15.9 13.6
a 848 2941 29.0 24.8
a 848 3045 27.4 23.4
a 849 1952 20.1 17.2
a 849 2211 42.5 36.3
a 849 2507 20.0 17.1
a 850 794 52.4 44.8
a 850 1619 42.5 36.3
a 850 2149 48.3 41.3
a 850 2852 38.5 32.9
a 851 530 96.3 82.3
a 851 1343 11.1 9.5
a 851 2271 19.5 16.7
a 852 1433 11.6 9.9
a 853 1303 5.4 4.6
a 853 2703 5.0 4.3
a 853 2829 7.4 6.3
a 854 951 13.3 11.4
a 854 1333 9.9 8.5
a 854 1679 11.6 9.9
a 854 2085 30.6 26.2
a 855 1284 4.2 3.6
a 855 1749 27.2 23.2
a 855 2547 8.5 7.3
a 856 327 43.2 36.9
a 856 717 22.1 18.9
a 856 2951 45.8 39.1
a 857 24 30.2 25.8
a 857 970 14.7 12.6
a 857 1408 46.1 39.4
a 858 807 181.1 154.8
a 858 1191 228.0 194.9
a 858 1555 116.1 99.2
a 858 2157 119.8 102.4
a 859 1188 62.1 53.1
a 859 2836 5.9 5.0
a 859 3042 8.4 7.2
a 859 3049 17.3 14.8
a 860 730 11.5 9.8
a 860 981 68.1 58.2
a 860 1238 11.3 9.7
a 861 1766 10.7 9.1
a 862 257 55.7 47.6
a 863 1109 25.2 21.5
a 863 1842 30.0 25.6
a 863 2009 13.6 11.6
a 864 703 34.0 29.1
a 864 1506 7.9 6.8
a 864 3186 48.0 41.0
a 865 1359 60.5 51.7
a 865 2132 5.1 4.4
a 865 2802 43.6 37.3
a 866 1727 9.7 8.3
a 866 2016 9.6 8.2
a 866 2874 17.9 15.3
a 866 3098 11.4 9.7
a 867 165 37.4 32.0
a 867 1761 51.9 44.4
a 867 2019 8.5 7.3
a 867 2785 41.5 35.5
a 868 1329 16.0 13.7
a 868 1743 123.7 105.7
a 868 2786 83.1 71.0
a 868 2895 16.0 13.7
a 869 45 23.8 20.3
a 869 326 12.4 10.6
a 869 1896 29.4 25.1
a 870 138 14.2 12.1
a 870 1266 2.1 1.8
a 870 2102 70.8 60.5
a 870 2439 3.8 3.2
a 871 1896 49.3 42.1
a 871 2166 6.2 5.3
a 871 2562 42.2 36.1
a 871 2582 41.0 35.0
a 872 273 11.6 9.9
a 872 1311 43.5 37.2
a 872 1473 43.8 37.4
a 872 1902 41.3 35.3
a 873 2478 9.1 7.8
a 873 2493 8.1 6.9
a 873 2535 10.7 9.1
a 873 3114 37.8 32.3
a 874 359 6.1 5.2
a 874 402 79.5 67.9
a 874 959 28.9 24.7
a 874 2625 37.9 32.4
a 875 823 12.3 10.5
a 875 1734 55.7 47.6
a 875 2304 14.7 12.6
a 875 2454 13.2 11.3
a 876 214 8.0 6.8
a 876 220 70.4 60.2
a 876 1435 4.3 3.7
a 877 1679 29.8 25.5
a 877 3005 68.2 58.3
a 877 3193 8.7 7.4
a 878 607 28.4 24.3
a 878 1288 39.1 33.4
a 878 2722 22.6 19.3
a 879 2357 16.0 13.7
a 880 84 18.9 16.2
a 880 814 21.2 18.1
a 880 3233 20.3 17.4
a 881 3224 6.5 5.6
a 882 707 42.5 36.3
a 882 1120 12.0 10.3
a 882 2272 33.5 28.6
a 882 3057 11.5 9.8
a 883 834 3.9 3.3
a 884 1329 15.7 13.4
a 884 1635 9.0 7.7
a 884 2577 13.7 11.7
a 884 2895 15.4 13.2
a 885 415 5.3 4.5
a 885 2308 310.7 265.6
a 885 2428 110.7 94.6
a 886 298 11.1 9.5
a 886 764 5.9 5.0
a 886 2162 29.1 24.9
a 887 399 106.7 91.2
a 887 409 2.1 1.8
a 887 690 7.4 6.3
a 888 1295 40.6 34.7
a 888 1580 7.6 6.5
a 888 2965 12.3 10.5
a 889 113 59.6 50.9
a 889 1137 8.5 7.3
a 889 2345 23.2 19.8
a 889 3181 19.1 16.3
a 890 235 51.0 43.6
a 890 1769 27.3 23.3
a 890 1793 38.2 32.6
a 890 2641 6.0 5.1
a 891 2275 26.7 22.8
a 891 2290 26.6 22.7
a 891 3206 7.9 6.8
a 892 83 5.8 5.0
a 892 112 19.4 16.6
a 892 500 19.8 16.9
a 892 1774 8.7 7.4
a 893 1756 43.0 36.8
a 893 2864 55.2 47.2
a 893 2963 51.0 43.6
a 894 76 21.6 18.5
a 894 165 6.6 5.6
a 894 1563 10.0 8.5
a 894 1613 7.6 6.5
a 895 16 151.9 129.8
a 896 1246 7.0 6.0
a 896 1319 49.6 42.4
a 896 1609 10.7 9.1
a 896 1883 8.1 6.9
a 897 44 18.7 16.0
a 897 773 23.0 19.7
a 897 971 30.2 25.8
a 898 190 34.2 29.2
a 898 1582 18.5 15.8
a 898 2189 57.6 49.2
a 898 2430 6.0 5.1
a 899 564 49.3 42.1
a 899 774 28.3 24.2
a 899 3053 8.8 7.5
a 900 1204 5.6 4.8
a 900 2873 55.0 47.0
a 900 3070 22.8 19.5
a 901 210 2.9 2.5
a 901 530 3.6 3.1
a 901 2502 67.5 57.7
a 901 2901 6.2 5.3
a 902 187 25.9 22.1
a 902 2155 126.6 108.2
a 902 2272 9.5 8.1
a 902 2670 22.9 19.6
a 903 3 48.3 41.3
a 903 1093 8.9 7.6
a 903 2062 50.1 42.8
a 903 2743 15.4 13.2
a 904 1561 14.4 12.3
a 904 2054 39.7 33.9
a 904 3040 8.6 7.4
a 905 689 43.6 37.3
a 905 1564 76.4 65.3
a 905 3166 47.3 40.4
a 905 3178 84.0 71.8
a 906 1235 3.9 3.3
a 907 1713 89.2 76.2
a 907 2898 8.6 7.4
a 907 3213 372.3 318.2
a 908 1230 91.5 78.2
a 908 1369 367.1 313.8
a 908 2457 8.2 7.0
a 909 1254 409.3 349.8
a 909 1926 109.2 93.3
a 909 2059 23.7 20.3
a 909 2352 16.0 13.7
a 909 3161 127.2 108.7
a 910 1843 65.0 55.6
a 910 2816 106.6 91.1
a 910 3097 5.0 4.3
a 911 1178 44.4 37.9
a 911 1671 5.9 5.0
a 911 3101 7.1 6.1
a 912 1841 7.4 6.3
a 912 2638 44.9 38.4
a 912 2828 39.9 34.1
a 913 1818 5.1 4.4
a 913 2150 7.8 6.7
a 913 2164 12.9 11.0
a 913 3095 40.8 34.9
a 914 615 12.9 11.0
a 914 2974 16.6 14.2
a 914 2982 65.2 55.7
a 915 1273 9.5 8.1
a 915 2020 13.1 11.2
a 915 2269 120.1 102.6
a 916 294 2.9 2.5
a 916 1442 3.9 3.3
a 916 2197 2.5 2.1
a 917 351 11.2 9.6
a 917 1169 8.9 7.6
a 917 2370 14.3 12.2
a 917 2854 11.7 10.0
a 918 1498 53.0 45.3
a 918 1933 16.2 13.8
a 918 3224 35.0 29.9
a 919 42 113.1 96.7
a 919 415 12.4 10.6
a 919 1119 11.4 9.7
a 919 2307 11.8 10.1
a 920 2352 398.7 340.8
a 920 2710 404.3 345.6
a 920 2932 7.7 6.6
a 921 521 8.8 7.5
a 921 1115 14.8 12.6
a 921 1590 11.3 9.7
a 921 2063 47.3 40.4
a 922 1590 7.7 6.6
a 922 3081 50.7 43.3
a 922 3225 7.6 6.5
a 923 657 85.6 73.2
a 923 1108 14.8 12.6
a 923 1616 7.2 6.2
a 924 1084 7.7 6.6
a 924 2428 180.9 154.6
a 924 2486 48.4 41.4
a 925 179 7.8 6.7
a 925 200 51.1 43.7
a 925 649 32.5 27.8
a 925 1842 33.3 28.5
a 926 94 4.2 3.6
a 926 502 23.2 19.8
a 926 1029 71.4 61.0
a 927 703 7.3 6.2
a 927 1506 33.3 28.5
a 927 2192 13.6 11.6
a 928 2266 7.5 6.4
a 929 446 6.0 5.1
a 929 1918 40.9 35.0
a 929 2767 49.8 42.6
a 929 3236 24.6 21.0
a 930 2275 34.2 29.2
a 930 2896 22.0 18.8
a 930 3141 8.0 6.8
a 931 1166 86.8 74.2
a 932 622 4.9 4.2
a 932 624 5.4 4.6
a 932 1483 8.0 6.8
a 933 1347 46.5 39.7
a 933 1568 28.0 23.9
a 933 3071 37.4 32.0
a 934 393 2.3 2.0
a 934 758 69.4 59.3
a 934 1633 3.4 2.9
a 935 316 16.3 13.9
a 935 2839 16.5 14.1
a 935 2938 2.9 2.5
a 936 56 7.9 6.8
a 936 1726 30.7 26.2
a 936 2589 7.2 6.2
a 937 684 59.5 50.9
a 938 1067 13.2 11.3
a 938 1719 21.8 18.6
a 938 2654 13.6 11.6
a 939 1686 9.4 8.0
a 939 2121 27.5 23.5
a 939 2575 30.6 26.2
a 940 490 9.4 8.0
a 940 664 19.5 16.7
a 940 1938 48.9 41.8
a 940 2576 34.0 29.1
a 941 62 44.7 38.2
a 941 66 16.6 14.2
a 941 391 20.3 17.4
a 941 2663 26.3 22.5
a 942 2602 24.2 20.7
a 942 2867 82.6 70.6
a 942 2968 80.3 68.6
a 943 1283 88.6 75.7
a 943 1984 80.0 68.4
a 943 2616 20.9 17.9
a 943 3109 9.5 8.1
a 944 817 30.5 26.1
a 944 1678 56.0 47.9
a 944 2279 270.0 230.8
a 944 3240 33.6 28.7
a 945 241 10.5 9.0
a 945 389 7.9 6.8
a 945 1888 12.1 10.3
a 945 2031 12.3 10.5
a 946 226 21.4 18.3
a 946 783 14.0 12.0
a 946 1477 45.2 38.6
a 947 1166 314.5 268.8
a 948 997 8.6 7.4
a 948 1121 72.5 62.0
a 948 1378 12.6 10.8
a 948 1556 44.7 38.2
a 949 84 50.5 43.2
a 949 526 46.1 39.4
a 949 3233 15.3 13.1
a 950 136 28.4 24.3
a 950 412 7.9 6.8
a 950 627 37.0 31.6
a 950 1479 8.6 7.4
a 951 854 13.3 11.4
a 951 1575 23.5 20.1
a 951 1771 7.3 6.2
a 951 2177 11.5 9.8
a 952 338 4.5 3.8
a 952 598 2.1 1.8
a 952 707 9.3 7.9
a 953 650 19.3 16.5
a 953 1819 21.9 18.7
a 953 3196 69.4 59.3
a 954 355 20.1 17.2
a 954 2122 7.1 6.1
a 954 2446 68.1 58.2
a 955 1515 4.9 4.2
a 955 2127 3.3 2.8
a 955 2812 19.3 16.5
a 956 325 20.2 17.3
a 956 774 8.5 7.3
a 956 2496 8.3 7.1
a 956 3053 28.1 24.0
a 957 1512 46.0 39.3
a 957 1763 10.1 8.6
a 957 2032 49.0 41.9
a 958 1304 40.6 34.7
a 958 1357 35.4 30.3
a 958 2841 9.4 8.0
a 959 874 28.9 24.7
a 959 1136 71.3 60.9
a 959 1800 12.6 10.8
a 960 324 100.9 86.2
a 960 347 16.4 14.0
a 960 2621 3.6 3.1
a 961 4 7.5 6.4
a 962 451 53.6 45.8
a 962 507 44.3 37.9
a 962 2417 43.1 36.8
a 962 2586 38.7 33.1
a 963 29 9.2 7.9
a 963 182 201.5 172.2
a 963 2698 90.1 77.0
a 964 264 14.9 12.7
a 964 635 8.4 7.2
a 964 2440 5.7 4.9
a 965 684 65.9 56.3
a 965 2074 7.7 6.6
a 965 2604 33.7 28.8
a 966 100 136.3 116.5
a 967 117 391.4 334.5
a 967 590 80.8 69.1
a 967 1292 40.7 34.8
a 967 1618 52.4 44.8
a 968 2250 29.2 25.0
a 969 1210 5.5 4.7
a 970 336 16.6 14.2
a 970 857 14.7 12.6
a 970 1892 46.6 39.8
a 971 41 18.0 15.4
a 971 227 45.8 39.1
a 971 897 30.2 25.8
a 972 131 32.9 28.1
a 972 280 196.6 168.0
a 972 1436 12.5 10.7
a 972 2231 10.2 8.7
a 973 1491 24.4 20.9
a 973 1714 35.8 30.6
a 973 2572 37.8 32.3
a 973 3139 6.9 5.9
a 974 607 7.1 6.1
a 974 1775 26.2 22.4
a 974 2406 41.2 35.2
a 975 745 161.0 137.6
a 975 2736 22.1 18.9
a 975 2742 24.6 21.0
a 976 91 9.5 8.1
a 976 324 8.5 7.3
a 976 3052 17.5 15.0
a 977 2009 28.5 24.4
a 978 617 6.7 5.7
a 978 1248 27.7 23.7
a 978 2422 4.9 4.2
a 979 755 7.0 6.0
a 980 141 14.0 12.0
a 980 1400 16.0 13.7
a 980 2041 45.3 38.7
a 980 2378 38.2 32.6
a 981 860 68.1 58.2
a 981 1294 90.7 77.5
a 981 1910 11.2 9.6
a 981 2886 157.0 134.2
a 982 66 3.0 2.6
a 982 2247 12.9 11.0
a 982 2492 28.0 23.9
a 983 684 7.8 6.7
a 983 1502 64.0 54.7
a 983 2074 64.3 55.0
a 983 2661 28.0 23.9
a 984 233 7.9 6.8
a 984 2016 17.9 15.3
a 984 2874 9.3 7.9
a 984 3221 10.6 9.1
a 985 801 41.6 35.6
a 985 2513 99.1 84.7
a 985 3159 6.2 5.3
a 985 3236 53.7 45.9
a 986 476 33.2 28.4
a 986 501 11.2 9.6
a 986 1538 18.3 15.6
a 987 361 70.0 59.8
a 987 1097 138.6 118.5
a 987 2856 66.6 56.9
a 988 1034 7.9 6.8
a 988 1275 30.1 25.7
a 988 3170 35.7 30.5
a 988 3192 6.2 5.3
a 989 344 4.8 4.1
a 989 1758 136.0 116.2
a 989 1956 5.0 4.3
a 989 3144 9.6 8.2
a 990 52 33.3 28.5
a 990 1110 51.0 43.6
a 990 1541 43.2 36.9
a 990 2672 7.6 6.5
a 991 1174 22.0 18.8
a 991 1598 20.2 17.3
a 991 2799 57.6 49.2
a 991 2884 9.9 8.5
a 992 107 8.2 7.0
a 992 1718 6.1 5.2
a 992 3050 52.6 45.0
a 993 1150 7.1 6.1
a 993 2333 72.0 61.5
a 993 2371 9.7 8.3
a 994 191 6.9 5.9
a 994 687 13.2 11.3
a 994 2856 15.6 13.3
a 995 1130 7.8 6.7
a 995 2118 61.4 52.5
a 995 2129 42.6 36.4
a 995 2277 53.4 45.6
a 996 687 13.7 11.7
a 996 1612 12.3 10.5
a 996 1697 77.2 66.0
a 996 2789 12.5 10.7
a 997 948 8.6 7.4
a 997 1261 28.9 24.7
a 997 2249 44.8 38.3
a 997 2745 72.6 62.1
a 998 276 35.5 30.3
a 998 3038 33.2 28.4
a 998 3259 46.1 39.4
a 999 1203 5.6 4.8
a 1000 143 8.1 6.9
a 1000 1507 13.5 11.5
a 1000 2680 17.8 15.2
a 1001 3215 41.3 35.3
a 1002 379 32.0 27.4
a 1002 396 30.4 26.0
a 1002 1599 91.7 78.4
a 1003 56 11.7 10.0
a 1003 767 11.9 10.2
a 1003 1087 13.4 11.5
a 1003 2740 10.2 8.7
a 1004 1572 15.6 13.3
a 1004 1974 64.5 55.1
a 1004 3060 100.2 85.6
a 1004 3267 13.0 11.1
a 1005 1779 6.1 5.2
a 1005 2051 45.5 38.9
a 1005 2752 27.6 23.6
a 1005 3212 35.5 30.3
a 1006 1270 15.2 13.0
a 1007 219 10.2 8.7
a 1007 1275 8.2 7.0
a 1007 1605 11.9 10.2
a 1007 2826 12.2 10.4
a 1008 1946 31.3 26.8
a 1008 2199 7.3 6.2
a 1008 2773 9.2 7.9
a 1009 1233 7.3 6.2
a 1009 2471 109.2 93.3
a 1009 3070 6.7 5.7
a 1010 348 12.7 10.9
a 1010 1070 56.0 47.9
a 1010 1421 33.1 28.3
a 1011 680 5.1 4.4
a 1011 1594 7.4 6.3
a 1011 3127 5.2 4.4
a 1012 641 19.9 17.0
a 1012 1123 6.0 5.1
a 1012 3046 44.5 38.0
a 1013 1760 3.8 3.2
a 1014 433 20.7 17.7
a 1014 677 53.9 46.1
a 1014 1980 1.1 0.9
a 1015 1260 10.8 9.2
a 1015 1446 5.6 4.8
a 1015 2687 69.0 59.0
a 1016 546 9.3 7.9
a 1016 2161 65.1 55.6
a 1016 2399 101.6 86.8
a 1016 2633 57.5 49.1
a 1017 539 12.3 10.5
a 1017 2552 1.4 1.2
a 1017 3093 1.6 1.4
a 1018 2250 24.9 21.3
a 1018 2845 8.0 6.8
a 1018 3135 185.2 158.3
a 1019 175 6.1 5.2
a 1020 2429 8.0 6.8
a 1020 2523 5.5 4.7
a 1020 3075 27.2 23.2
a 1021 2107 155.5 132.9
a 1022 162 39.6 33.8
a 1022 513 20.5 17.5
a 1022 3142 9.3 7.9
a 1023 98 27.0 23.1
a 1023 197 45.9 39.2
a 1023 2463 36.6 31.3
a 1024 185 37.5 32.1
a 1024 1831 25.8 22.1
a 1024 3122 13.5 11.5
a 1025 3102 4.3 3.7
a 1026 2946 244.9 209.3
a 1027 1416 35.8 30.6
a 1028 528 11.6 9.9
a 1028 564 11.0 9.4
a 1028 686 14.9 12.7
a 1029 926 71.4 61.0
a 1029 1207 31.2 26.7
a 1029 1554 3.4 2.9
a 1030 374 35.8 30.6
a 1030 1376 37.6 32.1
a 1030 2196 38.8 33.2
a 1031 1847 19.9 17.0
a 1031 2609 10.8 9.2
a 1031 2629 87.3 74.6
a 1032 250 2.3 2.0
a 1032 474 2.3 2.0
a 1032 2024 17.3 14.8
a 1032 3088 13.3 11.4
a 1033 378 6.7 5.7
a 1033 1549 72.7 62.1
a 1033 2581 42.6 36.4
a 1033 2662 65.9 56.3
a 1034 988 7.9 6.8
a 1034 2003 30.0 25.6
a 1034 2556 35.6 30.4
a 1034 2831 41.4 35.4
a 1035 1433 90.4 77.3
a 1035 2430 151.9 129.8
a 1035 3210 10.4 8.9
a 1036 1928 112.7 96.3
a 1037 787 36.9 31.5
a 1037 1334 6.5 5.6
a 1037 3120 25.7 22.0
a 1038 612 1.8 1.5
a 1038 2753 228.4 195.2
a 1038 3063 4.9 4.2
a 1039 1236 3.4 2.9
a 1039 1864 5.5 4.7
a 1039 2064 3.8 3.2
a 1040 74 7.3 6.2
a 1040 580 21.7 18.5
a 1040 3188 6.2 5.3
a 1041 415 197.0 168.4
a 1042 1584 21.3 18.2
a 1042 1781 5.6 4.8
a 1042 1980 7.3 6.2
a 1042 2787 40.8 34.9
a 1043 1263 3.6 3.1
a 1043 2262 78.1 66.8
a 1043 2424 32.9 28.1
a 1044 2783 90.4 77.3
a 1045 818 13.9 11.9
a 1046 2043 570.0 487.2
a 1047 1811 39.5 33.8
a 1047 2205 8.6 7.4
a 1047 2516 39.1 33.4
a 1048 2222 314.4 268.7
a 1049 52 51.4 43.9
a 1049 570 48.3 41.3
a 1049 741 44.6 38.1
a 1049 1110 32.5 27.8
a 1050 1165 176.5 150.9
a 1050 1941 6.6 5.6
a 1050 2326 7.8 6.7
a 1050 2823 12.4 10.6
a 1051 143 17.1 14.6
a 1051 403 2.6 2.2
a 1051 1388 3.5 3.0
a 1052 790 10.1 8.6
a 1052 2027 12.9 11.0
a 1052 2346 149.5 127.8
a 1052 2422 8.3 7.1
a 1053 421 125.7 107.4
a 1054 615 11.0 9.4
a 1055 106 7.7 6.6
a 1055 207 31.7 27.1
a 1055 2731 9.2 7.9
a 1056 116 38.8 33.2
a 1056 491 22.4 19.1
a 1056 1111 50.8 43.4
a 1057 1619 38.4 32.8
a 1057 2039 34.0 29.1
a 1057 2852 43.0 36.8
a 1057 3230 7.5 6.4
a 1058 26 54.8 46.8
a 1058 604 6.5 5.6
a 1058 797 21.2 18.1
a 1059 315 35.2 30.1
a 1059 1212 125.5 107.3
a 1059 1573 6.1 5.2
a 1059 2756 42.0 35.9
a 1060 704 2.6 2.2
a 1061 1753 3.4 2.9
a 1062 1471 2.2 1.9
a 1063 373 236.9 202.5
a 1064 518 85.3 72.9
a 1064 791 12.4 10.6
a 1064 1705 17.9 15.3
a 1065 1505 7.8 6.7
a 1065 2273 41.7 35.6
a 1065 2605 6.3 5.4
a 1065 2870 5.3 4.5
a 1066 20 4.6 3.9
a 1066 204 39.5 33.8
a 1066 685 6.8 5.8
a 1066 688 5.5 4.7
a 1067 436 117.6 100.5
a 1067 447 2.9 2.5
a 1067 938 13.2 11.3
a 1068 252 19.6 16.8
a 1068 1432 14.1 12.1
a 1068 3276 74.0 63.2
a 1069 611 5.3 4.5
a 1069 1887 29.2 25.0
a 1069 1909 11.6 9.9
a 1070 658 130.7 111.7
a 1070 1010 56.0 47.9
a 1070 2499 5.7 4.9
a 1071 186 326.5 279.1
a 1071 2458 4.9 4.2
a 1071 2642 10.8 9.2
a 1071 3089 4.3 3.7
a 1072 393 25.7 22.0
a 1073 92 28.2 24.1
a 1073 175 15.1 12.9
a 1073 2558 4.5 3.8
a 1074 300 103.2 88.2
a 1074 306 10.3 8.8
a 1074 597 5.9 5.0
a 1075 2070 22.5 19.2
a 1075 2383 36.7 31.4
a 1075 3050 19.1 16.3
a 1076 1134 30.1 25.7
a 1076 2864 92.2 78.8
a 1076 2963 17.4 14.9
a 1077 518 5.8 5.0
a 1077 2524 27.0 23.1
a 1077 2961 32.6 27.9
a 1078 1390 7.8 6.7
a 1078 2528 58.9 50.3
a 1078 2940 9.7 8.3
a 1079 114 31.4 26.8
a 1079 749 5.0 4.3
a 1079 2447 29.5 25.2
a 1080 297 66.8 57.1
a 1080 590 4.6 3.9
a 1080 1330 45.7 39.1
a 1080 2365 40.1 34.3
a 1081 534 41.8 35.7
a 1081 711 40.8 34.9
a 1081 2906 39.3 33.6
a 1081 3013 28.0 23.9
a 1082 217 6.9 5.9
a 1083 836 15.0 12.8
a 1083 1844 15.3 13.1
a 1083 3142 8.3 7.1
a 1084 770 103.5 88.5
a 1084 924 7.7 6.6
a 1084 1720 58.9 50.3
a 1085 2115 5.2 4.4
a 1085 2844 120.3 102.8
a 1085 3079 11.1 9.5
a 1086 1733 24.4 20.9
a 1086 1847 13.5 11.5
a 1086 2436 11.9 10.2
a 1086 2507 79.6 68.0
a 1087 134 36.6 31.3
a 1087 1003 13.4 11.5
a 1087 2589 6.8 5.8
a 1087 3181 10.7 9.1
a 1088 365 7.1 6.1
a 1088 487 86.2 73.7
a 1088 2990 16.5 14.1
a 1089 317 3.6 3.1
a 1090 77 94.7 80.9
a 1091 1354 37.3 31.9
a 1091 2115 66.4 56.8
a 1091 2255 53.6 45.8
a 1092 464 54.6 46.7
a 1092 1468 3.5 3.0
a 1092 1513 6.6 5.6
a 1092 2973 17.9 15.3
a 1093 155 15.5 13.2
a 1093 307 50.0 42.7
a 1093 903 8.9 7.6
a 1094 1441 8.7 7.4
a 1094 2533 38.5 32.9
a 1094 3174 7.9 6.8
a 1095 2815 7.6 6.5
a 1095 2836 16.2 13.8
a 1095 2990 12.4 10.6
a 1096 366 83.7 71.5
a 1096 1341 16.0 13.7
a 1096 3055 11.3 9.7
a 1097 69 5.1 4.4
a 1097 605 5.9 5.0
a 1097 987 138.6 118.5
a 1098 786 18.6 15.9
a 1098 1273 14.3 12.2
a 1098 1337 16.9 14.4
a 1098 2167 13.7 11.7
a 1099 2888 5.6 4.8
a 1100 1141 52.6 45.0
a 1100 1973 6.4 5.5
a 1100 2238 8.1 6.9
a 1100 2759 7.9 6.8
a 1101 832 111.0 94.9
a 1101 1251 7.4 6.3
a 1101 2441 66.4 56.8
a 1101 2972 12.5 10.7
a 1102 495 13.9 11.9
a 1102 1247 115.3 98.5
a 1102 1456 7.7 6.6
a 1102 1776 7.4 6.3
a 1103 1789 6.4 5.5
a 1103 2059 44.9 38.4
a 1103 3094 6.0 5.1
a 1103 3146 71.7 61.3
a 1104 431 12.7 10.9
a 1104 1436 29.4 25.1
a 1104 1809 215.2 183.9
a 1104 2775 12.3 10.5
a 1105 549 10.3 8.8
a 1105 828 16.9 14.4
a 1105 1766 17.4 14.9
a 1106 589 51.2 43.8
a 1106 1598 58.8 50.3
a 1106 2209 222.4 190.1
a 1106 2799 22.8 19.5
a 1107 2133 100.1 85.6
a 1108 923 14.8 12.6
a 1108 1247 39.8 34.0
a 1108 2208 170.5 145.7
a 1108 2952 11.2 9.6
a 1109 31 8.0 6.8
a 1109 863 25.2 21.5
a 1109 2659 39.8 34.0
a 1110 990 51.0 43.6
a 1110 1049 32.5 27.8
a 1110 2336 43.2 36.9
a 1110 2849 45.5 38.9
a 1111 1056 50.8 43.4
a 1111 1206 38.9 33.2
a 1111 1651 28.7 24.5
a 1112 2995 18.8 16.1
a 1113 506 5.7 4.9
a 1113 2021 10.6 9.1
a 1113 2156 16.3 13.9
a 1113 2402 38.6 33.0
a 1114 1694 10.8 9.2
a 1114 2367 9.9 8.5
a 1114 2705 146.7 125.4
a 1115 508 11.2 9.6
a 1115 921 14.8 12.6
a 1115 1533 15.9 13.6
a 1115 2303 12.0 10.3
a 1116 5 40.4 34.5
a 1116 192 57.4 49.1
a 1116 1403 5.9 5.0
a 1116 1674 37.0 31.6
a 1117 53 28.5 24.4
a 1117 2415 84.0 71.8
a 1117 3010 9.8 8.4
a 1117 3228 40.6 34.7
a 1118 1652 21.6 18.5
a 1118 3028 36.3 31.0
a 1118 3141 56.4 48.2
a 1119 256 103.2 88.2
a 1119 919 11.4 9.7
a 1119 1735 11.3 9.7
a 1119 1979 10.8 9.2
a 1120 187 8.4 7.2
a 1120 882 12.0 10.3
a 1120 1339 55.1 47.1
a 1120 1519 9.5 8.1
a 1121 948 72.5 62.0
a 1121 2745 8.8 7.5
a 1121 2835 10.8 9.2
a 1121 2991 5.9 5.0
a 1122 638 10.5 9.0
a 1122 1428 26.2 22.4
a 1122 2117 9.7 8.3
a 1123 1012 6.0 5.1
a 1124 710 9.1 7.8
a 1125 1482 47.5 40.6
a 1125 2131 38.7 33.1
a 1125 2573 25.0 21.4
a 1125 2702 5.2 4.4
a 1126 740 19.5 16.7
a 1127 145 6.6 5.6
a 1127 2089 10.0 8.5
a 1127 2109 7.6 6.5
a 1127 2848 132.3 113.1
a 1128 1341 47.7 40.8
a 1128 1546 2.8 2.4
a 1128 2366 31.4 26.8
a 1129 487 39.1 33.4
a 1129 1188 5.4 4.6
a 1129 2829 56.3 48.1
a 1129 2836 63.8 54.5
a 1130 995 7.8 6.7
a 1130 1358 53.0 45.3
a 1130 3143 61.5 52.6
a 1131 1999 56.2 48.0
a 1131 2380 8.2 7.0
a 1131 2631 58.3 49.8
a 1131 3183 29.2 25.0
a 1132 1371 52.8 45.1
a 1132 1588 10.7 9.1
a 1132 2617 61.2 52.3
a 1133 384 24.0 20.5
a 1133 2679 30.5 26.1
a 1133 2775 9.7 8.3
a 1134 1076 30.1 25.7
a 1134 1927 11.2 9.6
a 1134 2304 8.0 6.8
a 1134 2374 10.6 9.1
a 1135 1177 60.8 52.0
a 1135 1856 45.5 38.9
a 1135 2554 2.2 1.9
a 1136 959 71.3 60.9
